CIRCLE,DISTRICT,ZONE_ID,GRID_NAME,FEEDER_NAME,SUBSTATION_NAME,OPEN_DATE,CLOSE_DATE,FAULT_TYPE,FAULT_REASON,ZSO_NAME,LAST_PROTECTION_VISITOR_NAME,,
Urban Circle,Rohini,571,ROHINI - III,4/7 S/S FDR NO-2,GALI NO-4  SAMAY PUR,4/1/2017 2:18,4/1/2017 3:00,TX FAULT,HT Jumper opened,SANJEEV KUMAR,,,
Urban Circle,Rohini,571,ROHINI - III,4/7 S/S FDR NO-2,S/S - 4/7,4/1/2017 3:00,4/1/2017 4:45,TX FAULT,Bird age,SANJEEV KUMAR,,,
Urban Circle,Rohini,571,ROHINI - III,4/7 S/S FDR NO-2,S/S - 6/7,4/1/2017 4:19,4/1/2017 4:45,TX FAULT,Lt lead burnt/al. Socket burnt,SANJEEV KUMAR,,,
Urban Circle,Rohini,571,ROHINI - III,4/7 S/S FDR NO-2,S/S - 6/7,4/1/2017 4:20,4/1/2017 4:45,TX FAULT,Safety,SANJEEV KUMAR,,,
City Circle,Moti Nagar,1301,RAMA ROAD,69 N.G.ROAD,S/S - 6/7,4/1/2017 2:48,4/1/2017 4:40,TX FAULT,Animal electrocuted,PRAKASH CHANDER,,,
City Circle,Moti Nagar,1301,RAMA ROAD,69 N.G.ROAD,69 RAMA ROAD GLOBAL FOOTWEAR,4/1/2017 4:14,4/1/2017 4:40,TX FAULT,Animal electrocuted,PRAKASH CHANDER,,,
Urban Circle,Badli,507,SGTN (GIS),GALI NO 4 SAMAYPUR,69 RAMA ROAD GLOBAL FOOTWEAR,4/1/2017 4:31,4/1/2017 6:30,TX FAULT,Tree fault,NA,,,
Town Circle,Civil Lines,416,G.T.K. ROAD,C. C. COLONY,HT507-10/18/21/1,4/1/2017 6:41,4/1/2017 7:47,O/H FAULT,HT jumper opened,NA,,,
City Circle,Moti Nagar,1302,PVR PAYAL,MAGGO O/H HVDS,C.C.COLONY,4/1/2017 7:30,4/1/2017 10:03,TRANSIENT FAULT,Maintenance cause,NA,,,
Urban Circle,Shalimarbagh,505,JAHANGIR PURI,D-BLK BUS STAND S/S,MAGGO O/H HVDS,4/1/2017 7:54,4/1/2017 8:50,O/H FAULT,Maintenance cause,NA,,,
Metro Circle,Mangolpuri,523,ROHINI SEC - 22,NITHARI,D - BLK BUS STAND,4/1/2017 8:30,4/1/2017 9:37,TRANSIENT FAULT,Restored,NA,,,
Metro Circle,Pitam Pura,508,PITAM PURA - I,VAISHALI,NITHARI,4/1/2017 9:05,4/1/2017 9:20,TRANSIENT FAULT,TX HT fuse blown,NA,,,
Sub Urban Circle,Narela,522,A - 7 NARELA,S/S NO-1 A-9 PKT-1+S/S NO-11 A-10 PKT-6,VAISHALI,4/1/2017 9:16,4/1/2017 10:51,TRANSIENT FAULT,Lt lead burnt/al. Socket burnt,NA,,,
Metro Circle,Pitam Pura,510,RANI BAGH,PRESTIGE BUILDWELL S/S,A-7 NARELA,4/1/2017 8:45,4/1/2017 9:22,O/H FAULT,TX HT fuse blown,NA,,,
Urban Circle,Rohini,561,ROHINI - V,SWARN JYANTI PARK S/S VIA 1 P/M S/S,COMMERCIAL COMPLEX S/ST.NO - 2,4/1/2017 9:33,4/1/2017 10:42,O/H FAULT,TX HT fuse blown,NA,,,
Metro Circle,Kesahav Puram,509,WAZIR PUR - I,M. T. D.,ROHINI-5,4/1/2017 9:39,4/1/2017 9:58,O/H FAULT,Other,NA,,,
Urban Circle,Rohini,571,ROHINI - V,NEW RMU ROOM IN RG5 GRID,MTD,4/1/2017 9:59,4/1/2017 11:00,TX FAULT,LT problem,NA,,,
Town Circle,Shakti Nagar,422,SHAHZADA BAGH,SHAHZADABAGH NO.-2 S/S,S-MART P/M,4/1/2017 10:03,4/1/2017 10:48,TX FAULT,LT problem,Ashok Kumar,,,
Town Circle,Shakti Nagar,422,SHAHZADA BAGH,SHAHZADABAGH NO.-2 S/S,SHAHZADA BAGH NO - 2 (K) ,4/1/2017 10:31,4/1/2017 10:48,TX FAULT,Sabotage (short circuit - external wire),Ashok Kumar,,,
Metro Circle,Kesahav Puram,501,RAM PURA,COMMUNITY CENTRE,SHAHZADA BAGH NO - 2 (K) ,4/1/2017 10:19,4/1/2017 12:05,TX FAULT,Maintenance cause,Onkar Singh,,,
Metro Circle,Kesahav Puram,501,RAM PURA,COMMUNITY CENTRE,COMMUNITY  CENTRE,4/1/2017 12:05,4/1/2017 17:32,TX FAULT,Found faulty after hi pot-fault in run,Onkar Singh,,,
Urban Circle,Rohini,561,ROHINI SEC - 24,1/25 S/S,HT501-12/4,4/1/2017 9:28,4/1/2017 10:36,O/H FAULT,Restored,NA,,,
City Circle,Moti Nagar,1302,220 KV NARAINA,MAGGO S/S PH-1 FDR-1(MAGGO S/STN.- I ),25-Jan,4/1/2017 9:00,4/1/2017 10:55,TX FAULT,Found faulty after hi pot-fault in run,LALIT KUMAR,,,
City Circle,Moti Nagar,1302,220 KV NARAINA,MAGGO S/S PH-1 FDR-1(MAGGO S/STN.- I ),HT1302-12/63/19,4/1/2017 10:31,4/1/2017 10:55,TX FAULT,Restored,LALIT KUMAR,,,
Urban Circle,Shalimarbagh,505,JAHANGIR PURI,C-BLOCK RELIANCE S/S,HT1302-12/63/19,4/1/2017 10:45,4/1/2017 11:10,TRANSIENT FAULT,Pin insulator faulty,NA,,,
